,Entity Name,Plant Name,Nameplate Capacity (MW),Technology,Energy Source Code,Prime Mover Code,Operating Month,Operating Year,Plant State,Age,emmR,emmF
2015,City of Primghar - (IA),Primghar,0.6,Petroleum Liquids,DFO,IC,1.0,1972.0,IA,47.0,0.08,0.048
2016,City of Primghar - (IA),Primghar,1.1,Petroleum Liquids,DFO,IC,5.0,1992.0,IA,27.0,0.08,0.08800000000000001
2017,City of Rockford- (IA),Rockford,0.4,Petroleum Liquids,DFO,IC,8.0,1951.0,IA,68.0,0.08,0.032
2018,City of Rockford- (IA),Rockford,0.9,Petroleum Liquids,DFO,IC,8.0,1961.0,IA,58.0,0.08,0.07200000000000001
2019,City of Rockford- (IA),Rockford,1.6,Petroleum Liquids,DFO,IC,1.0,1999.0,IA,20.0,0.08,0.128
2020,Rock Rapids Municipal Utility,Rock Rapids,2.5,Petroleum Liquids,DFO,IC,4.0,1968.0,IA,51.0,0.08,0.2
2021,City of Sibley - (IA),Sibley One,2.0,Natural Gas Internal Combustion Engine,NG,IC,9.0,1971.0,IA,48.0,0.059,0.118
2022,City of Sibley - (IA),Sibley One,1.2,Natural Gas Internal Combustion Engine,NG,IC,4.0,1987.0,IA,32.0,0.059,0.07079999999999999
2023,City of Sibley - (IA),Sibley One,2.0,Natural Gas Internal Combustion Engine,NG,IC,4.0,2000.0,IA,19.0,0.059,0.118
2024,City of Spencer - (IA),Spencer Gas Turbine,23.8,Petroleum Liquids,KER,GT,1.0,1970.0,IA,49.0,0.08,1.9040000000000001
2025,City of State Center - (IA),State Center,0.6,Petroleum Liquids,DFO,IC,5.0,1995.0,IA,24.0,0.08,0.048
2026,City of State Center - (IA),State Center,0.6,Petroleum Liquids,DFO,IC,5.0,1995.0,IA,24.0,0.08,0.048
2027,City of State Center - (IA),State Center,1.3,Petroleum Liquids,DFO,IC,5.0,1995.0,IA,24.0,0.08,0.10400000000000001
2028,City of State Center - (IA),State Center,1.3,Petroleum Liquids,DFO,IC,5.0,1995.0,IA,24.0,0.08,0.10400000000000001
2029,City of State Center - (IA),State Center,2.5,Petroleum Liquids,DFO,IC,8.0,1972.0,IA,47.0,0.08,0.2
2030,City of Story City - (IA),Story City,1.3,Petroleum Liquids,DFO,IC,1.0,1964.0,IA,55.0,0.08,0.10400000000000001
2031,City of Story City - (IA),Story City,2.0,Petroleum Liquids,DFO,IC,1.0,1972.0,IA,47.0,0.08,0.16
2032,City of Story City - (IA),Story City,3.5,Petroleum Liquids,DFO,IC,5.0,2003.0,IA,16.0,0.08,0.28
2033,City of Story City - (IA),Story City,3.1,Petroleum Liquids,DFO,IC,3.0,1993.0,IA,26.0,0.08,0.24800000000000003
2034,City of Story City - (IA),Story City,2.0,Petroleum Liquids,DFO,IC,1.0,1978.0,IA,41.0,0.08,0.16
2035,City of Story City - (IA),Story City,2.0,Petroleum Liquids,DFO,IC,1.0,1978.0,IA,41.0,0.08,0.16
2036,City of Stuart - (IA),Stuart (IA),0.6,Petroleum Liquids,DFO,IC,2.0,1956.0,IA,63.0,0.08,0.048
2037,City of Stuart - (IA),Stuart (IA),1.1,Petroleum Liquids,DFO,IC,6.0,1968.0,IA,51.0,0.08,0.08800000000000001
2038,City of Stuart - (IA),Stuart (IA),1.1,Petroleum Liquids,DFO,IC,10.0,1964.0,IA,55.0,0.08,0.08800000000000001
2039,City of Sumner - (IA),Sumner,2.6,Petroleum Liquids,DFO,IC,12.0,1972.0,IA,47.0,0.08,0.20800000000000002
2040,City of Sumner - (IA),Sumner,1.2,Petroleum Liquids,DFO,IC,8.0,1956.0,IA,63.0,0.08,0.096
2041,City of Sumner - (IA),Sumner,1.8,Petroleum Liquids,DFO,IC,9.0,1999.0,IA,20.0,0.08,0.14400000000000002
2042,City of Traer - (IA),Traer Main,1.1,Petroleum Liquids,DFO,IC,1.0,1963.0,IA,56.0,0.08,0.08800000000000001
2043,City of Traer - (IA),Traer Main,1.1,Petroleum Liquids,DFO,IC,1.0,1963.0,IA,56.0,0.08,0.08800000000000001
2044,City of Traer - (IA),Traer Main,0.6,Petroleum Liquids,DFO,IC,1.0,1969.0,IA,50.0,0.08,0.048
2045,City of Traer - (IA),Traer Main,1.3,Petroleum Liquids,DFO,IC,1.0,1970.0,IA,49.0,0.08,0.10400000000000001
2046,City of Villisca - (IA),Villisca Municipal Power Plant,2.0,Petroleum Liquids,DFO,IC,6.0,2003.0,IA,16.0,0.08,0.16
2047,City of Villisca - (IA),Villisca Municipal Power Plant,2.0,Petroleum Liquids,DFO,IC,6.0,2003.0,IA,16.0,0.08,0.16
2048,City of Vinton - (IA),Vinton,1.3,Petroleum Liquids,DFO,IC,6.0,1955.0,IA,64.0,0.08,0.10400000000000001
2049,City of Vinton - (IA),Vinton,0.8,Petroleum Liquids,DFO,IC,6.0,2009.0,IA,10.0,0.08,0.064
2050,City of Vinton - (IA),Vinton,0.6,Petroleum Liquids,DFO,IC,6.0,1946.0,IA,73.0,0.08,0.048
2051,City of Vinton - (IA),Vinton,2.5,Petroleum Liquids,DFO,IC,6.0,1961.0,IA,58.0,0.08,0.2
2052,City of Vinton - (IA),Vinton,3.7,Petroleum Liquids,DFO,IC,6.0,1967.0,IA,52.0,0.08,0.29600000000000004
2053,City of Vinton - (IA),Vinton,5.6,Petroleum Liquids,DFO,IC,12.0,1973.0,IA,46.0,0.08,0.44799999999999995
2054,City of Vinton - (IA),Vinton,3.0,Petroleum Liquids,DFO,IC,9.0,1992.0,IA,27.0,0.08,0.24
2055,City of Webster City - (IA),Webster City,21.3,Petroleum Liquids,DFO,GT,4.0,1972.0,IA,47.0,0.08,1.7040000000000002
2056,City of West Bend,West Bend,1.1,Petroleum Liquids,DFO,IC,8.0,1959.0,IA,60.0,0.08,0.08800000000000001
2057,City of West Bend,West Bend,0.9,Petroleum Liquids,DFO,IC,12.0,1954.0,IA,65.0,0.08,0.07200000000000001
2058,City of West Bend,West Bend,2.2,Petroleum Liquids,DFO,IC,11.0,1973.0,IA,46.0,0.08,0.17600000000000002
2059,City of West Bend,West Bend,2.5,Petroleum Liquids,DFO,IC,7.0,2013.0,IA,6.0,0.08,0.2
2060,City of West Liberty - (IA),West Liberty,2.5,Petroleum Liquids,DFO,IC,10.0,1974.0,IA,45.0,0.08,0.2
2061,City of West Liberty - (IA),West Liberty,3.0,Petroleum Liquids,DFO,IC,2.0,1982.0,IA,37.0,0.08,0.24
2062,City of West Liberty - (IA),West Liberty,5.5,Petroleum Liquids,DFO,GT,5.0,2004.0,IA,15.0,0.08,0.44
2063,City of West Liberty - (IA),West Liberty,5.5,Petroleum Liquids,DFO,GT,5.0,2004.0,IA,15.0,0.08,0.44
2064,City of Whittemore - (IA),Whittemore,1.1,Petroleum Liquids,DFO,IC,8.0,1964.0,IA,55.0,0.08,0.08800000000000001
2065,City of Wilton,Wilton,1.6,Petroleum Liquids,DFO,IC,1.0,1992.0,IA,27.0,0.08,0.128
2066,City of Wilton,Wilton,1.6,Petroleum Liquids,DFO,IC,1.0,1992.0,IA,27.0,0.08,0.128
2067,City of Wilton,Wilton,1.6,Petroleum Liquids,DFO,IC,1.0,1992.0,IA,27.0,0.08,0.128
2068,City of Wilton,Wilton,2.2,Petroleum Liquids,DFO,IC,5.0,2002.0,IA,17.0,0.08,0.17600000000000002
2069,City of Wilton,Wilton,2.2,Petroleum Liquids,DFO,IC,5.0,2002.0,IA,17.0,0.08,0.17600000000000002
2070,City of Winterset - (IA),Winterset,1.5,Petroleum Liquids,DFO,IC,7.0,1956.0,IA,63.0,0.08,0.12
2071,City of Winterset - (IA),Winterset,1.7,Petroleum Liquids,DFO,IC,6.0,1966.0,IA,53.0,0.08,0.136
2072,City of Winterset - (IA),Winterset,4.4,Petroleum Liquids,DFO,IC,5.0,1972.0,IA,47.0,0.08,0.35200000000000004
2073,City of Winterset - (IA),Winterset,2.0,Petroleum Liquids,DFO,IC,4.0,2002.0,IA,17.0,0.08,0.16
